chapter_number,chapter_title,article_number,article_title,content
Chương III,"ĐIỀU KIỆN KINH DOANH, CẤP VÀ THU HỒI GIẤY PHÉP SÁT HẠCH",23,Điều kiện chung,"1. Trung tâm sát hạch lái xe là tổ chức hoạt động kinh doanh dịch vụ.
2. Điều kiện về nhân lực của trung tâm sát hạch lái xe
a) Giám đốc, Phó giám đốc; Giám đốc có bằng tốt nghiệp trung cấp trở lên;
b) Có kỹ thuật viên công nghệ thông tin phục vụ các nội dung sát hạch;
c) Có nhân viên nghiệp vụ để thực hiện các công việc: phục vụ sát hạch thực hành lái xe trong sân sát hạch, ngoài đường, bảo đảm an ninh, an toàn tại các khu vực sát hạch; quản lý thí sinh, nhận, trả và lưu trữ hồ sơ."
Chương III,"ĐIỀU KIỆN KINH DOANH, CẤP VÀ THU HỒI GIẤY PHÉP SÁT HẠCH",24,Điều kiện về cơ sở vật chất,"1. Được đặt ở nơi có đường giao thông thuận tiện, có điều kiện về cung cấp điện, nước, thoát nước, thông tin liên lạc, không bị nhiễu loạn điện từ ảnh hưởng đến các thiết bị báo lỗi và chấm điểm lắp đặt tại Trung tâm.
2. Có đầy đủ các hạng mục công trình cơ bản như: sân sát hạch, nhà điều hành và các công trình phụ trợ. Sân sát hạch phải được bố trí trên một thửa đất hoặc nhiều thửa đất liền kề.
3. Có phương tiện, thiết bị, lực lượng lao động thu gom, lưu giữ rác thải sinh hoạt theo quy định; trồng cây xanh xung quanh sân sát hạch hoặc có biện pháp giảm thiểu ảnh hưởng của tiếng ồn, bụi và khí xả từ xe cơ giới dùng để sát hạch; niêm yết quy định về giữ gìn vệ sinh môi trường ở nơi công cộng.
4. Xây dựng, lắp đặt và duy trì tình trạng kỹ thuật của hệ thống chống sét và các trang thiết bị phòng, chống cháy nổ theo quy định, được cơ quan quản lý về phòng cháy, chữa cháy chứng nhận bảo đảm an toàn.
5. Xây dựng, duy trì hệ thống thông tin, đường truyền trực tuyến để truyền trực tiếp dữ liệu giám sát sát hạch về Phòng Cảnh sát giao thông tổ chức kỳ sát hạch và Cục Cảnh sát giao thông, Bộ Công an để phục vụ công tác quản lý, kiểm tra và xử lý vi phạm.
6. Diện tích trung tâm sát hạch lái xe: trung tâm sát hạch lái xe loại 1 có diện tích không nhỏ hơn 35.000 m2; trung tâm sát hạch lái xe loại 2 có diện tích không nhỏ hơn 20.000 m2; trung tâm sát hạch lái xe loại 3 có diện tích không nhỏ hơn 4.000 m2.
7. Xe sát hạch
a) Xe sát hạch các hạng sử dụng các loại xe tương ứng với hạng giấy phép lái xe quy định tại khoản 1 Điều 57 Luật Trật tự, an toàn giao thông đường bộ số 36/2024/QH15, bảo đảm yêu cầu kỹ thuật theo quy định tại Quy chuẩn kỹ thuật quốc gia về Trung tâm sát hạch lái xe cơ giới đường bộ. Trong đó: xe sát hạch hạng A1, A sử dụng loại ly hợp điều khiển tự động hoặc loại ly hợp điều khiển bằng tay; xe sát hạch hạng B sử dụng loại chuyển số tự động (bao gồm cả ô tô điện) hoặc chuyển số cơ khí (số sàn); xe sát hạch hạng C1, C, D1, D2, D, BE, C1E, CE, D1E, D2E và DE sử dụng loại chuyển số cơ khí (số sàn);
b) Số lượng xe sát hạch trong hình hạng A1, A, B1, B, C1 và C tối thiểu mỗi hạng 02 xe; các hạng khác tối thiểu mỗi hạng 01 xe; được phép kết hợp sát hạch trong hình và trên đường;
c) Xe sát hạch lái xe trên đường tối thiểu mỗi hạng 01 xe (được phép kết hợp sát hạch trong hình và trên đường);
d) Xe sát hạch thuộc quyền sử dụng hợp pháp của tổ chức, cá nhân có trung tâm sát hạch lái xe và không được sử dụng vào mục đích kinh doanh khác (trừ sử dụng vào mục đích kinh doanh đào tạo lái xe);
đ) Xe sát hạch được gắn 02 biển “SÁT HẠCH” trước và sau xe theo mẫu quy định tại Phụ lục XIII kèm theo Nghị định này; xe sát hạch các hạng B, C1, C, D1, D2, D và BE, CE, D2E, D1E, DE có hệ thống phanh phụ được lắp đặt bảo đảm hiệu quả phanh;
e) Xe mô tô ba bánh để làm xe sát hạch cho người khuyết tật là xe mô tô ba bánh dùng cho người khuyết tật đã được cơ quan có thẩm quyền cấp giấy chứng nhận đăng ký xe và biển số xe;
g) Xe ô tô hạng B số tự động được dùng làm xe sát hạch cho người khuyết tật bàn chân phải hoặc bàn tay phải hoặc bàn tay trái; xe ô tô hạng B số tự động dùng làm xe sát hạch cho người khuyết tật ngoài việc đáp ứng các quy định tại điểm d, điểm đ khoản này còn phải có kết cấu phù hợp để các tay và chân còn lại của người khuyết tật vừa giữ được vô lăng lái, vừa dễ dàng điều khiển cần gạt tín hiệu báo rẽ, đèn chiếu sáng, cần gạt mưa, cần số, cần phanh tay, bàn đạp phanh chân, bàn đạp ga trong mọi tình huống khi lái xe theo đúng chức năng thiết kế của nhà sản xuất ô tô hoặc được cơ quan có thẩm quyền cấp giấy chứng nhận cải tạo xe cơ giới xác nhận hệ thống điều khiển của xe phù hợp để người khuyết tật lái xe an toàn.
8. Thiết bị sát hạch lý thuyết: tối thiểu 02 máy tính làm chức năng máy chủ; tối thiểu 10 máy tính làm chức năng máy trạm đối với trung tâm sát hạch lái xe loại 3, tối thiểu 20 máy tính làm chức năng máy trạm đối với trung tâm sát hạch lái xe loại 1 và loại 2.
9. Thiết bị sát hạch thực hành lái xe trong hình: tối thiểu 02 máy tính; thiết bị trên xe sát hạch có số lượng tối thiểu tương ứng với số lượng xe sát hạch; thiết bị trên sân sát hạch.
10. Thiết bị sát hạch thực hành lái xe trên đường: tối thiểu 02 máy tính, thiết bị trên xe sát hạch có số lượng tối thiểu tương ứng với số lượng xe sát hạch.
11. Trang bị và duy trì tình trạng kỹ thuật hệ thống thông tin giám sát sát hạch theo Quy chuẩn kỹ thuật quốc gia về Trung tâm sát hạch lái xe cơ giới đường bộ.
12. Trang bị các thiết bị hỗ trợ
a) Bộ đàm thông tin nội bộ: tối thiểu 02 bộ đối với trung tâm sát hạch lái xe loại 3 và 04 bộ đối với trung tâm sát hạch lái xe loại 1 và loại 2;
b) Hệ thống âm thanh để thông báo công khai kết quả, lỗi trừ điểm của người dự sát hạch: tối thiểu 01 bộ;
c) Hệ thống màn hình hiển thị: tối thiểu 03 màn hình đối với trung tâm sát hạch lái xe loại 3 và 04 màn hình đối với trung tâm sát hạch lái xe loại 1 và loại 2;
d) Hệ thống camera giám sát lắp đặt tại phòng sát hạch lý thuyết, sân sát hạch;
đ) Máy phát điện dự phòng: tối thiểu 01 máy;
e) Thiết bị lưu điện: có số lượng tối thiểu tương ứng với các máy tính sử dụng phục vụ công tác tổ chức sát hạch.
g) Sử dụng hệ thống thiết bị và phần mềm ứng dụng định danh và xác thực điện tử để kết nối thông qua API tới các nền tảng số quốc gia có liên quan, bảo đảm việc nhận diện, định danh, xác thực và cung cấp giấy tờ điện tử của học viên khi tham dự sát hạch lái xe trước ngày 01 tháng 01 năm 2027.
13. Trung tâm sát hạch lái xe có cài đặt phần mềm sát hạch lý thuyết: cung cấp dịch vụ để tổ chức sát hạch lý thuyết đối với tất cả các hạng giấy phép lái xe."
Chương III,"ĐIỀU KIỆN KINH DOANH, CẤP VÀ THU HỒI GIẤY PHÉP SÁT HẠCH",25,Điều kiện kỹ thuật,"Trung tâm sát hạch lái xe phải đáp ứng các yêu cầu kỹ thuật theo quy định của Quy chuẩn kỹ thuật quốc gia về Trung tâm sát hạch lái xe cơ giới đường bộ.
Mục 2. THỦ TỤC CẤP, CẤP LẠI VÀ THU HỒI GIẤY PHÉP SÁT HẠCH"
Chương III,"ĐIỀU KIỆN KINH DOANH, CẤP VÀ THU HỒI GIẤY PHÉP SÁT HẠCH",26,"Giấy phép sát hạch, thẩm quyền cấp, cấp lại và thu hồi giấy phép sát hạch","1. Phòng Cảnh sát giao thông cấp, cấp lại giấy phép sát hạch cho trung tâm sát hạch lái xe trên địa bàn nếu đáp ứng đủ điều kiện quy định tại Điều 23, Điều 24, Điều 25 của Nghị định này và có thẩm quyền thu hồi giấy phép sát hạch của trung tâm sát hạch lái xe trên địa bàn theo quy định tại Điều 30 của Nghị định này;
Trường hợp trung tâm sát hạch lái xe chưa cung cấp dịch vụ để sát hạch các hạng giấy phép lái xe quy định tại khoản 4 Điều 3 của Nghị định này, thì được cấp giấy phép sát hạch để sát hạch đối với các hạng giấy phép lái xe đáp ứng đủ điều kiện; trung tâm sát hạch lái xe loại 1 phải cung cấp dịch vụ để sát hạch tối thiểu các hạng giấy phép lái xe A1, A, B, C1, C, D2, D.
2. Giấy phép sát hạch theo mẫu quy định tại Mẫu số 01 và Mẫu số 02 Phụ lục XIV kèm theo Nghị định này; được cấp lại trong trường hợp bị mất, bị hỏng, thay đổi tên của trung tâm sát hạch hoặc có sự thay đổi về thiết bị sát hạch, chủng loại, số lượng xe cơ giới sử dụng để sát hạch lái xe. Giấy phép cấp lại phải có quy định hủy bỏ hiệu lực của giấy phép đã cấp trước đó."
Chương III,"ĐIỀU KIỆN KINH DOANH, CẤP VÀ THU HỒI GIẤY PHÉP SÁT HẠCH",27,"Thủ tục cấp giấy phép sát hạch cho trung tâm sát hạch lái xe loại 1, loại 2","1. Sau khi xây dựng xong trung tâm sát hạch lái xe, tổ chức, cá nhân gửi 01 bộ hồ sơ xây dựng đến cơ quan có thẩm quyền quy định tại khoản 1 Điều 26 Nghị định này bằng một trong các hình thức: qua dịch vụ bưu chính, cổng dịch vụ công quốc gia; hồ sơ xây dựng gồm:
a) Văn bản đề nghị cấp giấy phép sát hạch theo mẫu quy định tại Mẫu số 01 Phụ lục XV kèm theo Nghị định này;
b) Quyết định chấp thuận chủ trương đầu tư của cơ quan có thẩm quyền đối với nhà đầu tư trong nước, tổ chức kinh tế có vốn đầu tư nước ngoài (có nhà đầu tư nước ngoài nắm giữ dưới 51% vốn điều lệ) trừ các dự án không phải phê duyệt chủ trương đầu tư hoặc giấy chứng nhận đăng ký đầu tư đối với nhà đầu tư nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài (có nhà đầu tư nước ngoài nắm giữ từ 51% vốn điều lệ trở lên) (bản sao kèm bản chính hoặc bản sao có chứng thực hoặc bản sao điện tử được chứng thực từ bản chính hoặc bản sao điện tử từ sổ gốc hoặc dữ liệu điện tử);
c) Bản vẽ bố trí mặt bằng tổng thể;
d) Giấy phép xây dựng (bản sao kèm bản chính hoặc bản sao có chứng thực hoặc bản sao điện tử được chứng thực từ bản chính hoặc bản sao điện tử từ sổ gốc hoặc dữ liệu điện tử) trừ các trường hợp được miễn giấy phép xây dựng theo quy định của pháp luật; hồ sơ thiết kế hình sát hạch, bản kê khai loại xe cơ giới dùng để sát hạch, loại thiết bị chấm điểm tự động.
2. Trong thời gian không quá 03 ngày làm việc kể từ ngày nhận văn bản đề nghị, cơ quan có thẩm quyền tổ chức kiểm tra, lập biên bản theo mẫu quy định tại Phụ lục XVI kèm theo Nghị định này và cấp giấy phép sát hạch cho trung tâm sát hạch lái xe. Trường hợp không cấp, phải trả lời bằng văn bản và nêu rõ lý do; trong thời hạn 05 ngày làm việc kể từ ngày cấp giấy phép sát hạch, cơ quan có thẩm quyền cấp giấy phép sát hạch gửi Cục Cảnh sát giao thông bản sao giấy phép sát hạch đã cấp kèm theo biên bản kiểm tra để theo dõi, quản lý.
3. Việc trả kết quả được thực hiện qua dịch vụ bưu chính; trường hợp cấp giấy phép sát hạch điện tử, cơ quan có thẩm quyền trả kết quả trên Cổng Dịch vụ công quốc gia để trung tâm sát hạch lái xe in hoặc lưu trữ trên thiết bị điện tử."
Chương III,"ĐIỀU KIỆN KINH DOANH, CẤP VÀ THU HỒI GIẤY PHÉP SÁT HẠCH",28,Thủ tục cấp giấy phép cho trung tâm sát hạch lái xe loại 3,"1. Sau khi xây dựng xong trung tâm sát hạch lái xe, tổ chức, cá nhân gửi văn bản đề nghị cấp giấy phép sát hạch theo mẫu quy định tại Mẫu số 01 Phụ lục XV kèm theo Nghị định này, kèm 01 bộ hồ sơ qua dịch vụ bưu chính hoặc cổng dịch vụ công quốc gia đến cơ quan có thẩm quyền quy định tại khoản 1 Điều 26 Nghị định này; hồ sơ bao gồm:
a) Giấy phép xây dựng (bản sao kèm bản chính để đối chiếu hoặc bản sao có chứng thực hoặc bản sao điện tử được chứng thực từ bản chính hoặc bản sao điện tử từ sổ gốc hoặc dữ liệu điện tử);
b) Bản vẽ bố trí mặt bằng tổng thể, hồ sơ thiết kế kích thước hình sát hạch, loại xe cơ giới dùng để sát hạch.
2. Trong thời gian không quá 02 ngày làm việc, kể từ ngày tiếp nhận hồ sơ, cơ quan có thẩm quyền kiểm tra tính đầy đủ của hồ sơ; trường hợp hồ sơ chưa đầy đủ thì cơ quan có thẩm quyền có văn bản hướng dẫn tổ chức, cá nhân hoàn thiện lại theo quy định; trong thời gian không quá 03 ngày làm việc kể từ ngày nhận đủ hồ sơ theo quy định, tổ chức kiểm tra, lập biên bản theo mẫu quy định tại Phụ lục XVI kèm theo Nghị định này và cấp giấy phép sát hạch; trường hợp không cấp, phải trả lời bằng văn bản và nêu rõ lý do. Trong thời hạn 05 ngày làm việc kể từ ngày cấp giấy phép sát hạch, cơ quan có thẩm quyền cấp giấy phép sát hạch gửi Cục Cảnh sát giao thông bản sao giấy phép sát hạch đã cấp kèm theo biên bản kiểm tra để theo dõi, quản lý.
3. Việc trả kết quả được thực hiện qua dịch vụ bưu chính; trường hợp cấp giấy phép sát hạch điện tử, cơ quan có thẩm quyền trả kết quả trên Cổng Dịch vụ công quốc gia để trung tâm sát hạch lái xe in hoặc lưu trữ trên thiết bị điện tử."
Chương III,"ĐIỀU KIỆN KINH DOANH, CẤP VÀ THU HỒI GIẤY PHÉP SÁT HẠCH",29,Thủ tục cấp lại giấy phép sát hạch,"1. Giấy phép sát hạch được cấp lại khi có sự thay đổi về thiết bị sát hạch, chủng loại, số lượng xe cơ giới sử dụng để sát hạch lái xe
a) Trung tâm sát hạch lái xe gửi văn bản đề nghị cấp lại giấy phép sát hạch theo mẫu quy định tại Mẫu số 02 Phụ lục XV kèm theo Nghị định này gửi đến cơ quan có thẩm quyền quy định tại khoản 1 Điều 26 Nghị định này bằng một trong các hình thức: qua dịch vụ bưu chính, cổng dịch vụ công quốc gia;
b) Trong thời gian không quá 03 ngày làm việc kể từ ngày nhận văn bản đề nghị, cơ quan có thẩm quyền cấp tổ chức kiểm tra, lập biên bản theo mẫu quy định tại Phụ lục XVI kèm theo Nghị định này và cấp giấy phép sát hạch. Trường hợp không cấp, phải trả lời bằng văn bản và nêu rõ lý do; trong thời hạn 05 ngày làm việc kể từ ngày cấp lại giấy phép sát hạch, cơ quan có thẩm quyền phải báo cáo Cục Cảnh sát giao thông bằng văn bản để theo dõi, quản lý;
c) Việc trả kết quả được thực hiện qua dịch vụ bưu chính; trường hợp cấp giấy phép sát hạch điện tử, cơ quan có thẩm quyền trả kết quả trên Cổng Dịch vụ công quốc gia để trung tâm sát hạch lái xe in hoặc lưu trữ trên thiết bị điện tử.
2. Giấy phép sát hạch được cấp lại khi bị hỏng, mất, thay đổi tên của trung tâm sát hạch lái xe ngoài các nội dung quy định tại khoản 1 Điều này.
a) Trung tâm sát hạch lái xe có văn bản đề nghị cấp lại giấy phép sát hạch theo mẫu quy định tại Mẫu số 02 Phụ lục XV kèm theo Nghị định này và nêu rõ lý do hỏng hoặc mất hoặc nội dung thay đổi, gửi đến cơ quan có thẩm quyền quy định tại khoản 1 Điều 26 Nghị định này bằng một trong các hình thức: qua dịch vụ bưu chính, cổng dịch vụ công quốc gia;
b) Trong thời hạn không quá 01 ngày làm việc kể từ ngày nhận văn bản đề nghị, cơ quan có thẩm quyền cấp kiểm tra tính đầy đủ của hồ sơ; trường hợp hồ sơ chưa đầy đủ thì hướng dẫn tổ chức, cá nhân hoàn thiện theo quy định. Trong thời hạn 05 ngày làm việc kể từ ngày cấp giấy phép sát hạch, cơ quan có thẩm quyền cấp giấy phép sát hạch gửi Cục Cảnh sát giao thông bản sao giấy phép sát hạch đã cấp kèm theo biên bản kiểm tra để theo dõi, quản lý.
c) Việc trả kết quả được thực hiện qua dịch vụ bưu chính; trường hợp cấp giấy phép sát hạch điện tử, cơ quan có thẩm quyền trả kết quả trên Cổng Dịch vụ công quốc gia để trung tâm sát hạch lái xe in hoặc lưu trữ trên thiết bị điện tử."
Chương III,"ĐIỀU KIỆN KINH DOANH, CẤP VÀ THU HỒI GIẤY PHÉP SÁT HẠCH",30,Thu hồi giấy phép sát hạch,"1. Trung tâm sát hạch lái xe bị thu hồi giấy phép sát hạch trong các trường hợp sau:
a) Có hành vi gian lận để được cấp giấy phép sát hạch;
b) Không triển khai hoạt động sát hạch lái xe sau thời hạn 24 tháng, kể từ ngày được cấp giấy phép sát hạch;
c) Bị tước quyền sử dụng giấy phép sát hạch từ 02 lần trở lên trong thời gian 18 tháng;
d) Giấy phép sát hạch được cấp không đúng thẩm quyền hoặc sai quy định;
đ) Tẩy xóa, sửa chữa làm sai lệch nội dung trên giấy phép sát hạch được cấp;
e) Trung tâm sát hạch lái xe giải thể theo quy định của pháp luật;
g) Cố ý can thiệp vào thiết bị, phương tiện, phần mềm sát hạch làm sai lệch kết quả sát hạch.
2. Trình tự thực hiện thu hồi:
a) Trong thời hạn 03 ngày làm việc kể từ ngày phát hiện hành vi vi phạm quy định tại khoản 1 Điều này hoặc giải thể hoạt động sát hạch, cơ quan có thẩm quyền quy định tại khoản 1 Điều 26 Nghị định này ban hành quyết định thu hồi giấy phép sát hạch và công bố trên Cổng Dịch vụ công quốc gia, đồng thời cập nhật hết hiệu lực đối với giấy phép sát hạch cấp bằng hình thức điện tử. Trong thời hạn 05 ngày làm việc kể từ ngày ban hành quyết định thu hồi giấy phép sát hạch, cơ quan có thẩm quyền Nghị định này gửi Cục Cảnh sát giao thông bản sao quyết định để theo dõi, quản lý;
b) Trung tâm sát hạch lái xe phải dừng toàn bộ hoạt động sát hạch lái xe ngay sau khi quyết định thu hồi có hiệu lực và nộp lại giấy phép sát hạch cho cơ quan cấp. Trong trường hợp cơ quan cấp đã sáp nhập, chia tách, giải thể hoặc không còn thẩm quyền cấp, thu hồi giấy phép sát hạch thì trung tâm sát hạch lái xe phải nộp lại giấy phép sát hạch cho cơ quan đã ban hành quyết định thu hồi.
3. Xử lý đối với trường hợp bị thu hồi giấy phép sát hạch:
a) Giấy phép sát hạch bị thu hồi theo quy định tại điểm a, điểm g khoản 1 Điều này, trung tâm sát hạch phải chịu trách nhiệm trước pháp luật và không được cấp lại trong thời hạn 05 năm, kể từ ngày bị thu hồi;
b) Giấy phép sát hạch bị thu hồi theo quy định tại điểm b, c, d, đ, e khoản 1 Điều này nếu trung tâm sát hạch có nhu cầu và đáp ứng đủ các điều kiện theo quy định thì được xem xét cấp lại giấy phép sát hạch."
Chương IV,ĐIỀU KIỆN VÀ HOẠT ĐỘNG CỦA SÂN TẬP LÁI ĐỂ SÁT HẠCH LÁI XE MÔ TÔ,31,Điều kiện về cơ sở vật chất và kỹ thuật,"1. Được đặt ở nơi có đường giao thông thuận tiện, có điều kiện về cung cấp điện, nước, thoát nước, thông tin liên lạc, không bị nhiễu loạn điện từ ảnh hưởng đến các thiết bị báo lỗi và chấm điểm lắp đặt tại sân tập lái.
2. Có các hạng mục công trình cơ bản như: sân sát hạch thực hành lái xe mô tô, phòng sát hạch lý thuyết, phòng điều hành thiết bị chấm điểm thực hành lái xe trong hình (trong trường hợp tổ chức sát hạch thực hành lái xe trong hình bằng phương pháp chấm điểm tự động).
3. Sân tập lái để sát hạch lái xe mô tô phải có diện tích để bố trí đủ các hình các bài sát hạch lái xe theo Quy chuẩn kỹ thuật quốc gia về Trung tâm sát hạch lái xe cơ giới đường bộ đối với hạng sát hạch tương ứng.
4. Xe cơ giới dùng để sát hạch
a) Số lượng xe sát hạch trong hình hạng A1, A tối thiểu mỗi hạng 02 xe, hạng B1 tối thiểu 01 xe và không được sử dụng vào mục đích kinh doanh khác (trừ xe sử dụng để đào tạo lái xe);
b) Xe sát hạch thuộc quyền sử dụng hợp pháp của tổ chức, cá nhân có sân tập lái để sát hạch lái xe mô tô;
c) Được gắn 02 biển “SÁT HẠCH” trước và sau xe;
d) Xe mô tô ba bánh để làm xe sát hạch cho người khuyết tật là xe mô tô ba bánh dùng cho người khuyết tật đã được cơ quan có thẩm quyền cấp giấy chứng nhận đăng ký xe, biển số xe.
5. Thiết bị sát hạch lý thuyết (đối với trường hợp sát hạch lý thuyết thực hiện trên máy vi tính): tối thiểu 02 máy tính làm chức năng máy chủ; tối thiểu 10 máy tính làm chức năng máy trạm.
6. Thiết bị sát hạch thực hành lái xe trong hình (đối với trường hợp sát hạch thực hành lái xe trong hình bằng phương pháp chấm điểm tự động): tối thiểu 02 máy tính; thiết bị trên xe sát hạch có số lượng tối thiểu tương ứng với số lượng xe sát hạch; thiết bị trên sân sát hạch thực hành lái xe mô tô.
7. Trang bị các thiết bị hỗ trợ
a) Bộ đàm thông tin nội bộ: tối thiểu 02 bộ;
b) Hệ thống âm thanh để thông báo công khai kết quả, lỗi trừ điểm của người dự sát hạch: tối thiểu 01 bộ;
c) Hệ thống màn hình hiển thị: tối thiểu 03 màn hình;
d) Hệ thống camera giám sát: lắp đặt tại phòng sát hạch lý thuyết, sân sát hạch thực hành lái xe mô tô;
đ) Máy phát điện dự phòng: tối thiểu 01 máy;
e) Thiết bị lưu điện: có số lượng tối thiểu tương ứng với các máy tính sử dụng phục vụ công tác tổ chức sát hạch; trường hợp, sử dụng thiết bị lưu điện tập trung, phải có công suất đáp ứng cho các máy tính sử dụng phục vụ công tác tổ chức sát hạch.
8. Sân tập lái để sát hạch lái xe mô tô phải đáp ứng các yêu cầu kỹ thuật theo tiêu chuẩn kỹ thuật sân tập lái để sát hạch lái xe mô tô."
Chương IV,ĐIỀU KIỆN VÀ HOẠT ĐỘNG CỦA SÂN TẬP LÁI ĐỂ SÁT HẠCH LÁI XE MÔ TÔ,32,"Chấp thuận, thẩm quyền chấp thuận, chấp thuận lại và thu hồi chấp thuận hoạt động của sân tập lái để sát hạch lái xe mô tô","1. Phòng Cảnh sát giao thông chấp thuận, chấp thuận lại hoạt động của sân tập lái để sát hạch lái xe mô tô trên địa bàn nếu đáp ứng đủ điều kiện quy định tại Điều 31 của Nghị định này và thu hồi chấp thuận hoạt động của sân tập lái để sát hạch lái xe mô tô trên địa bàn theo quy định tại Điều 35 của Nghị định này.
2. Chấp thuận hoạt động của sân tập lái để sát hạch lái xe mô tô theo mẫu quy định tại Mẫu số 01 và Mẫu số 02 Phụ lục XVII kèm theo Nghị định này; được cấp lại khi có sự thay đổi về thiết bị sát hạch, chủng loại, số lượng xe mô tô để sát hạch lái xe. Chấp thuận lại phải có quy định hủy bỏ hiệu lực của chấp thuận đã cấp trước đó."
Chương IV,ĐIỀU KIỆN VÀ HOẠT ĐỘNG CỦA SÂN TẬP LÁI ĐỂ SÁT HẠCH LÁI XE MÔ TÔ,33,Thủ tục chấp thuận hoạt động của sân tập lái để sát hạch lái xe mô tô,"1. Tổ chức, cá nhân có sân tập lái gửi 01 bộ hồ sơ qua dịch vụ bưu chính hoặc cổng dịch vụ công quốc gia đến cơ quan có thẩm quyền quy định tại khoản 1 Điều 32 Nghị định này; hồ sơ bao gồm:
a) Văn bản đề nghị chấp thuận hoạt động của sân tập lái để sát hạch lái xe mô tô theo mẫu quy định tại Mẫu số 01 Phụ lục XVIII kèm theo Nghị định này;
b) Bản vẽ bố trí mặt bằng tổng thể, hồ sơ thiết kế kích thước hình sát hạch, loại xe cơ giới dùng để sát hạch.
2. Trong thời gian không quá 02 ngày làm việc, kể từ ngày tiếp nhận hồ sơ, cơ quan có thẩm quyền kiểm tra tính đầy đủ của hồ sơ; trường hợp chưa đầy đủ, thì hướng dẫn tổ chức, cá nhân hoàn thiện lại theo quy định; trong thời gian không quá 03 ngày làm việc kể từ ngày nhận đủ hồ sơ theo quy định tổ chức kiểm tra sân tập lái và lập biên bản theo mẫu quy định tại Phụ lục XIX kèm theo Nghị định này và ban hành quyết định chấp thuận hoạt động của sân tập lái để sát hạch lái xe mô tô đủ điều kiện hoạt động; trường hợp không cấp, phải trả lời bằng văn bản và nêu rõ lý do. Trong thời hạn 05 ngày làm việc kể từ ngày ban hành quyết định chấp thuận hoạt động của sân tập lái để sát hạch lái xe mô tô đủ điều kiện hoạt động, cơ quan có thẩm quyền gửi Cục Cảnh sát giao thông bản sao quyết định để theo dõi, quản lý.
3. Việc trả kết quả được thực hiện qua dịch vụ bưu chính; trường hợp trả kết quả điện tử (có mã hai chiều (QR), cơ quan có thẩm quyền cấp trả kết quả trên Cổng Dịch vụ công quốc gia để tổ chức, cá nhân in hoặc lưu trên thiết bị điện tử, các cơ quan liên quan truy xuất thông tin về chấp thuận hoạt động của sân tập lái để sát hạch lái xe mô tô."
